"Year,Value"
"194707,0.01"
"194708,-0.04"
"194709,-0.12"
"194710,-0.04"
"194711,-0.02"
"194712,-0.08"
"194801,-0.14"
"194802,-0.12"
"194803,-0.14"
"194804,-0.06"
"194805,0.11"
"194806,0.11"
"194807,0.10"
"194808,0.12"
"194809,-0.07"
"194810,-0.11"
"194811,-0.05"
"194812,-0.03"
"194901,0.04"
"194902,0.07"
"194903,0.03"
"194904,-0.01"
"194905,-0.05"
"194906,-0.09"
"194907,0.01"
"194908,-0.04"
"194909,-0.07"
"194910,-0.07"
"194911,-0.06"
"194912,0.03"
"195001,0.02"
"195002,-0.04"
"195003,0.04"
"195004,-0.06"
"195005,-0.01"
"195006,-0.01"
"195007,-0.03"
"195008,-0.04"
"195009,-0.03"
"195010,-0.04"
"195011,0.01"
"195012,0.04"
"195101,-0.05"
"195102,-0.04"
"195103,0.03"
"195104,0.10"
"195105,0.17"
"195106,0.20"
"195107,0.27"
"195108,0.31"
"195109,0.32"
"195110,0.31"
"195111,0.19"
"195112,0.23"
"195201,0.12"
"195202,0.16"
"195203,0.15"
"195204,0.19"
"195205,0.21"
"195206,0.20"
"195207,0.11"
"195208,0.15"
"195209,0.15"
"195210,0.15"
"195211,0.10"
"195212,0.11"
"195301,0.07"
"195302,0.12"
"195303,0.14"
"195304,0.28"
"195305,0.23"
"195306,0.21"
"195307,0.25"
"195308,0.25"
"195309,0.21"
"195310,0.18"
"195311,0.20"
"195312,0.12"
"195401,0.13"
"195402,0.12"
"195403,0.04"
"195404,0.10"
"195405,0.11"
"195406,0.01"
"195407,-0.03"
"195408,0.00"
"195409,0.03"
"195410,-0.04"
"195411,0.02"
"195412,-0.02"
"195501,0.04"
"195502,-0.09"
"195503,-0.10"
"195504,-0.08"
"195505,-0.08"
"195506,-0.10"
"195507,0.04"
"195508,0.06"
"195509,0.02"
"195510,-0.10"
"195511,-0.11"
"195512,-0.04"
"195601,0.10"
"195602,0.02"
"195603,0.00"
"195604,-0.06"
"195605,-0.13"
"195606,-0.13"
"195607,-0.10"
"195608,-0.09"
"195609,-0.12"
"195610,-0.07"
"195611,-0.13"
"195612,-0.01"
"195701,0.02"
"195702,0.09"
"195703,0.04"
"195704,0.13"
"195705,0.15"
"195706,0.21"
"195707,0.29"
"195708,0.33"
"195709,0.26"
"195710,0.21"
"195711,0.17"
"195712,0.19"
"195801,0.34"
"195802,0.29"
"195803,0.35"
"195804,0.22"
"195805,0.18"
"195806,0.26"
"195807,0.21"
"195808,0.26"
"195809,0.25"
"195810,0.18"
"195811,0.08"
"195812,0.15"
"195901,0.25"
"195902,0.23"
"195903,0.15"
"195904,0.16"
"195905,0.20"
"195906,0.19"
"195907,0.19"
"195908,0.19"
"195909,0.22"
"195910,0.14"
"195911,0.16"
"195912,0.13"
"196001,0.14"
"196002,0.17"
"196003,0.08"
"196004,0.05"
"196005,0.19"
"196006,0.16"
"196007,0.24"
"196008,0.21"
"196009,0.18"
"196010,0.13"
"196011,0.07"
"196012,0.20"
"196101,0.09"
"196102,0.13"
"196103,0.10"
"196104,0.18"
"196105,0.16"
"196106,0.21"
"196107,0.17"
"196108,0.18"
"196109,0.11"
"196110,0.14"
"196111,0.09"
"196112,0.12"
"196201,0.13"
"196202,0.12"
"196203,0.24"
"196204,0.18"
"196205,0.06"
"196206,0.05"
"196207,0.19"
"196208,0.14"
"196209,0.13"
"196210,0.10"
"196211,0.09"
"196212,0.07"
"196301,0.13"
"196302,0.13"
"196303,-0.03"
"196304,0.18"
"196305,0.14"
"196306,0.12"
"196307,0.18"
"196308,0.25"
"196309,0.16"
"196310,0.20"
"196311,0.27"
"196312,0.21"
"196401,0.05"
"196402,0.13"
"196403,-0.08"
"196404,-0.07"
"196405,0.04"
"196406,0.02"
"196407,-0.02"
"196408,-0.12"
"196409,-0.16"
"196410,-0.20"
"196411,-0.23"
"196412,-0.17"
"196501,-0.16"
"196502,-0.17"
"196503,-0.08"
"196504,-0.09"
"196505,-0.08"
"196506,-0.10"
"196507,-0.07"
"196508,-0.01"
"196509,-0.02"
"196510,0.00"
"196511,0.16"
"196512,0.04"
"196601,0.03"
"196602,0.07"
"196603,0.12"
"196604,0.11"
"196605,0.05"
"196606,0.11"
"196607,0.17"
"196608,0.16"
"196609,0.08"
"196610,0.07"
"196611,0.16"
"196612,0.19"
"196701,-0.03"
"196702,-0.11"
"196703,0.12"
"196704,0.08"
"196705,0.20"
"196706,0.14"
"196707,0.17"
"196708,0.24"
"196709,0.14"
"196710,0.11"
"196711,0.06"
"196712,0.04"
"196801,-0.09"
"196802,-0.06"
"196803,-0.03"
"196804,0.01"
"196805,0.07"
"196806,0.18"
"196807,0.13"
"196808,0.14"
"196809,0.14"
"196810,0.14"
"196811,0.05"
"196812,0.08"
"196901,0.31"
"196902,0.25"
"196903,0.11"
"196904,0.18"
"196905,0.25"
"196906,0.11"
"196907,0.15"
"196908,0.17"
"196909,0.17"
"196910,0.06"
"196911,0.04"
"196912,0.18"
"197001,0.07"
"197002,0.07"
"197003,0.10"
